Occupation,"Number
of
workers","Median
weekly
earnings",Standard error of median,"Number
of
workers","Median
weekly
earnings",Standard error of median,"Number
of
workers","Median
weekly
earnings",Standard error of median,Percentage of Men's
Highway maintenance workers,109,781,35,4,–,–,105,772,39,–
Rail-track laying and maintenance equipment operators,12,–,–,0,–,–,12,–,–,–
Septic tank servicers and sewer pipe cleaners,6,–,–,0,–,–,6,–,–,–
Miscellaneous construction and related workers,25,–,–,0,–,–,24,–,–,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,–,–,1,–,–,28,–,–,–
"Earth drillers, except oil and gas",23,–,–,0,–,–,23,–,–,–
"Explosives workers, ordnance handling experts, and blasters",14,–,–,0,–,–,14,–,–,–
Mining machine operators,59,"1,402",81,4,–,–,55,"1,389",79,–
"Roof bolters, mining",1,–,–,0,–,–,1,–,–,–
"Roustabouts, oil and gas",9,–,–,0,–,–,9,–,–,–
Helpers--extraction workers,2,–,–,0,–,–,2,–,–,–
Other extraction workers,35,–,–,0,–,–,34,–,–,–
"Installation, maintenance, and repair occupations","4,282",934,9,142,823,62,"4,140",936,9,87.9
"First-line supervisors of mechanics, installers, and repairers",270,"1,087",75,15,–,–,255,"1,111",77,–
"Computer, automated teller, and office machine repairers",157,932,25,20,–,–,137,940,24,–
Radio and telecommunications equipment installers and repairers,125,"1,131",50,18,–,–,108,"1,134",37,–
Avionics technicians,11,–,–,1,–,–,10,–,–,–
"Electric motor, power tool, and related repairers",22,–,–,2,–,–,20,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",0,–,–,0,–,–,0,–,–,–
"Electrical and electronics repairers, industrial and utility",12,–,–,2,–,–,10,–,–,–
"Electronic equipment installers and repairers, motor vehicles",5,–,–,0,–,–,5,–,–,–
Electronic home entertainment equipment installers and repairers,29,–,–,0,–,–,29,–,–,–
Security and fire alarm systems installers,47,–,–,0,–,–,47,–,–,–
Aircraft mechanics and service technicians,155,"1,117",34,7,–,–,147,"1,141",51,–
Automotive body and related repairers,114,820,42,0,–,–,114,820,44,–
Automotive glass installers and repairers,22,–,–,1,–,–,21,–,–,–
Automotive service technicians and mechanics,709,800,12,10,–,–,698,802,13,–
Bus and truck mechanics and diesel engine specialists,358,942,31,5,–,–,352,943,31,–
Heavy vehicle and mobile equipment service technicians and mechanics,199,"1,013",26,3,–,–,196,"1,011",26,–
Small engine mechanics,28,–,–,0,–,–,28,–,–,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",68,611,38,3,–,–,65,612,37,–
Control and valve installers and repairers,20,–,–,2,–,–,18,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",384,890,38,3,–,–,381,891,38,–
Home appliance repairers,28,–,–,0,–,–,28,–,–,–
Industrial and refractory machinery mechanics,424,981,32,6,–,–,418,982,32,–
"Maintenance and repair workers, general",456,870,30,16,–,–,439,874,29,–
"Maintenance workers, machinery",23,–,–,0,–,–,23,–,–,–
Millwrights,40,–,–,1,–,–,39,–,–,–
Electrical power-line installers and repairers,129,"1,300",55,5,–,–,124,"1,292",54,–
Telecommunications line installers and repairers,196,"1,014",46,9,–,–,187,"1,026",51,–
Precision instrument and equipment repairers,46,–,–,6,–,–,39,–,–,–
Wind turbine service technicians,2,–,–,0,–,–,2,–,–,–
"Coin, vending, and amusement machine servicers and repairers",25,–,–,2,–,–,23,–,–,–
Commercial divers,0,–,–,0,–,–,0,–,–,–
Locksmiths and safe repairers,18,–,–,0,–,–,18,–,–,–
Manufactured building and mobile home installers,5,–,–,0,–,–,5,–,–,–
Riggers,13,–,–,0,–,–,13,–,–,–
Signal and track switch repairers,14,–,–,0,–,–,14,–,–,–
"Helpers--installation, maintenance, and repair workers",17,–,–,1,–,–,17,–,–,–
"Other installation, maintenance, and repair workers",111,827,68,3,–,–,108,837,83,–
"Production, transportation, and material moving occupations","15,210",707,4,"3,279",561,6,"11,932",762,5,73.6
Production occupations,"7,668",723,5,"2,041",575,6,"5,627",793,6,72.5
First-line supervisors of production and operating workers,792,980,28,150,745,37,642,"1,050",38,71.0
"Aircraft structure, surfaces, rigging, and systems assemblers",6,–,–,1,–,–,5,–,–,–
"Electrical, electronics, and electromechanical assemblers",110,605,27,53,518,20,57,706,200,73.4
Engine and other machine assemblers,7,–,–,2,–,–,5,–,–,–
Structural metal fabricators and fitters,27,–,–,0,–,–,27,–,–,–
Miscellaneous assemblers and fabricators,989,663,13,348,583,10,641,723,15,80.6
Bakers,151,549,16,89,533,23,61,565,21,94.3
"Butchers and other meat, poultry, and fish processing workers",223,606,11,65,557,56,158,632,31,88.1
"Food and tobacco roasting, baking, and drying machine operators and tenders",3,–,–,0,–,–,3,–,–,–
Food batchmakers,55,557,22,34,–,–,21,–,–,–
Food cooking machine operators and tenders,8,–,–,5,–,–,3,–,–,–
"Food processing workers, all other",142,624,31,52,539,24,90,749,55,72.0
Computer control programmers and operators,106,882,29,12,–,–,94,890,30,–
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",17,–,–,4,–,–,12,–,–,–
"Forging machine setters, operators, and tenders, metal and plastic",5,–,–,0,–,–,5,–,–,–
"Rolling machine setters, operators, and tenders, metal and plastic",11,–,–,3,–,–,7,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",58,745,35,5,–,–,53,766,39,–
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",6,–,–,0,–,–,6,–,–,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,–,2,–,–,33,–,–,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",7,–,–,0,–,–,7,–,–,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",2,–,–,0,–,–,2,–,–,–
Machinists,309,863,29,16,–,–,293,878,26,–
"Metal furnace operators, tenders, pourers, and casters",17,–,–,1,–,–,16,–,–,–
"Model makers and patternmakers, metal and plastic",5,–,–,0,–,–,5,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,–,–,3,–,–,32,–,–,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,–,–,0,–,–,4,–,–,–
Tool and die makers,47,–,–,2,–,–,45,–,–,–
"Welding, soldering, and brazing workers",562,840,23,32,–,–,530,847,23,–
"Heat treating equipment setters, operators, and tenders, metal and plastic",10,–,–,2,–,–,8,–,–,–
"Layout workers, metal and plastic",10,–,–,1,–,–,9,–,–,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,–,–,4,–,–,13,–,–,–
"Tool grinders, filers, and sharpeners",1,–,–,0,–,–,1,–,–,–
"Metal workers and plastic workers, all other",356,698,18,66,611,14,290,724,29,84.4
Prepress technicians and workers,14,–,–,3,–,–,11,–,–,–
Printing press operators,137,754,48,26,–,–,111,804,55,–
Print binding and finishing workers,12,–,–,6,–,–,6,–,–,–
Laundry and dry-cleaning workers,108,432,23,76,416,13,32,–,–,–
"Pressers, textile, garment, and related materials",28,–,–,18,–,–,11,–,–,–
Sewing machine operators,131,498,9,94,497,11,37,–,–,–
Shoe and leather workers and repairers,1,–,–,0,–,–,1,–,–,–
Shoe machine operators and tenders,6,–,–,3,–,–,2,–,–,–
"Tailors, dressmakers, and sewers",43,–,–,24,–,–,19,–,–,–
Textile bleaching and dyeing machine operators and tenders,0,–,–,0,–,–,0,–,–,–
"Textile cutting machine setters, operators, and tenders",7,–,–,0,–,–,7,–,–,–
"Textile knitting and weaving machine setters, operators, and tenders",5,–,–,3,–,–,2,–,–,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",3,–,–,1,–,–,2,–,–,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,–,–,0,–,–,0,–,–,–
Fabric and apparel patternmakers,3,–,–,3,–,–,0,–,–,–
Upholsterers,19,–,–,5,–,–,14,–,–,–
"Textile, apparel, and furnishings workers, all other",14,–,–,7,–,–,7,–,–,–
Cabinetmakers and bench carpenters,47,–,–,3,–,–,44,–,–,–
Furniture finishers,15,–,–,2,–,–,13,–,–,–
"Model makers and patternmakers, wood",0,–,–,0,–,–,0,–,–,–
"Sawing machine setters, operators, and tenders, wood",32,–,–,4,–,–,27,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",23,–,–,10,–,–,13,–,–,–
"Woodworkers, all other",11,–,–,0,–,–,11,–,–,–
"Power plant operators, distributors, and dispatchers",33,–,–,1,–,–,32,–,–,–
Stationary engineers and boiler operators,84,"1,073",96,2,–,–,82,"1,086",72,–
Water and wastewater treatment plant and system operators,99,943,45,5,–,–,94,940,44,–
Miscellaneous plant and system operators,35,–,–,0,–,–,35,–,–,–
"Chemical processing machine setters, operators, and tenders",65,894,35,8,–,–,57,899,34,–
"Crushing, grinding, polishing, mixing, and blending workers",83,672,37,5,–,–,78,673,51,–
Cutting workers,56,595,35,12,–,–,43,–,–,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",17,–,–,3,–,–,14,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",20,–,–,4,–,–,15,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",756,771,17,267,679,23,490,868,38,78.2
Jewelers and precious stone and metal workers,20,–,–,7,–,–,13,–,–,–
"Medical, dental, and ophthalmic laboratory technicians",74,741,31,41,–,–,33,–,–,–
Packaging and filling machine operators and tenders,250,529,25,140,496,14,110,602,27,82.4
Painting workers,159,710,24,16,–,–,142,725,35,–
Photographic process workers and processing machine operators,15,–,–,4,–,–,11,–,–,–
Semiconductor processors,1,–,–,0,–,–,1,–,–,–
Adhesive bonding machine operators and tenders,8,–,–,3,–,–,5,–,–,–
"Cleaning, washing, and metal pickling equipment operators and tenders",6,–,–,0,–,–,6,–,–,–
Cooling and freezing equipment operators and tenders,4,–,–,0,–,–,4,–,–,–
Etchers and engravers,8,–,–,2,–,–,6,–,–,–
"Molders, shapers, and casters, except metal and plastic",28,–,–,0,–,–,27,–,–,–
"Paper goods machine setters, operators, and tenders",20,–,–,4,–,–,16,–,–,–
Tire builders,5,–,–,0,–,–,5,–,–,–
Helpers--production workers,37,–,–,10,–,–,26,–,–,–
"Production workers, all other",992,678,13,263,566,18,729,725,16,78.1
Transportation and material moving occupations,"7,542",689,5,"1,237",538,9,"6,305",724,7,74.3
Supervisors of transportation and material moving workers,197,850,39,45,–,–,152,878,66,–
Aircraft pilots and flight engineers,98,"1,743",593,7,–,–,91,"1,837",291,–
Air traffic controllers and airfield operations specialists,38,–,–,3,–,–,35,–,–,–
Flight attendants,74,878,82,53,822,60,21,–,–,–
"Ambulance drivers and attendants, except emergency medical technicians",8,–,–,0,–,–,8,–,–,–
Bus drivers,361,655,23,144,599,14,216,735,33,81.5
Driver/sales workers and truck drivers,"2,791",817,10,155,559,39,"2,636",829,12,67.4
Taxi drivers and chauffeurs,399,611,13,58,450,32,341,628,19,71.7
"Motor vehicle operators, all other",39,–,–,5,–,–,34,–,–,–
Locomotive engineers and operators,34,–,–,5,–,–,30,–,–,–
"Railroad brake, signal, and switch operators",3,–,–,0,–,–,3,–,–,–
Railroad conductors and yardmasters,54,"1,132",65,4,–,–,50,"1,143",56,–
"Subway, streetcar, and other rail transportation workers",17,–,–,0,–,–,17,–,–,–
Sailors and marine oilers,21,–,–,1,–,–,20,–,–,–
Ship and boat captains and operators,30,–,–,1,–,–,29,–,–,–
Ship engineers,7,–,–,0,–,–,7,–,–,–
Bridge and lock tenders,5,–,–,0,–,–,5,–,–,–
Parking lot attendants,61,575,46,8,–,–,54,575,45,–
Automotive and watercraft service attendants,70,570,68,14,–,–,56,575,54,–
Transportation inspectors,37,–,–,3,–,–,34,–,–,–
"Transportation attendants, except flight attendants",19,–,–,13,–,–,5,–,–,–
Other transportation workers,19,–,–,0,–,–,18,–,–,–
Conveyor operators and tenders,4,–,–,0,–,–,4,–,–,–
Crane and tower operators,64,"1,122",108,3,–,–,60,"1,079",271,–
"Dredge, excavating, and loading machine operators",19,–,–,0,–,–,19,–,–,–
Hoist and winch operators,8,–,–,0,–,–,8,–,–,–
Industrial truck and tractor operators,596,641,15,48,–,–,549,641,16,–
Cleaners of vehicles and equipment,232,538,22,40,–,–,192,536,25,–
"Laborers and freight, stock, and material movers, hand","1,595",603,6,318,541,12,"1,277",620,7,87.3
Machine feeders and offbearers,25,–,–,10,–,–,15,–,–,–
"Packers and packagers, hand",490,495,6,285,484,6,205,516,11,93.8
Pumping station operators,16,–,–,0,–,–,16,–,–,–
Refuse and recyclable material collectors,63,524,30,8,–,–,55,536,45,–
Mine shuttle car operators,0,–,–,0,–,–,0,–,–,–
"Tank car, truck, and ship loaders",6,–,–,0,–,–,6,–,–,–
"Material moving workers, all other",41,–,–,4,–,–,37,–,–,–
